accession_number,alternate_accession_number,image_file,title,record_type,status,collection_name,location,historical_theme,neighborhood,time_period,people,donor,object_date,format_material,condition,rights_status,sensitivity,is_public,photo_credit,description,significance,provenance,notes,tags,
SRM-2026-675,,coll639.png,"Church gathering outside a sanctuary, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Faith And Community Life,Geographies To Be Confirmed,20th century,church congregation,,undated,black-and-white photograph,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,Congregants gathered outside a church sanctuary.,Documents congregational life and the collective settings that shaped faith-based community organizing.,"Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/35.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",church congregation; sanctuary; faith community,
SRM-2026-676,,coll640.png,"Men working with shovels or posts, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Community and Professional Life,Geographies To Be Confirmed,20th century,community workers,,undated,black-and-white photograph,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,Several men working outdoors with tools in a rough landscape.,Documents manual labor and community-building activity within the Perkins collection.,"Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/36.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",labor; tools; community workers,
SRM-2026-677,,coll641.png,"Portrait of a man standing beside an automobile, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Portraiture and Community Memory,Geographies To Be Confirmed,20th century,unidentified man,,undated,sepia photograph,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,Sepia-toned portrait of a man standing beside an automobile.,Preserves personal portraiture and everyday status imagery within the Perkins archive.,"Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/37.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",portrait; automobile; sepia,
SRM-2026-678,,coll642.png,"Family seated on a porch, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Family And Local Life,Geographies To Be Confirmed,20th century,Perkins family members,,undated,black-and-white photograph,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,Family group seated together on a porch.,Documents domestic space and intergenerational gathering in the Perkins family circle.,"Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/38.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",family; porch; domestic life,
SRM-2026-679,,coll643.png,"Presentation or exchange between community members, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Community and Professional Life,Geographies To Be Confirmed,20th century,unidentified adults,,undated,black-and-white photograph,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,"Two adults appear engaged in a presentation, exchange, or greeting in front of others.","Suggests a moment of recognition, instruction, or community exchange within the Perkins network.","Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/39.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",presentation; community exchange; group,
SRM-2026-680,,coll644.png,"Full-length portrait of John M. Perkins, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Portraiture and Community Memory,Geographies To Be Confirmed,20th century,John M. Perkins,,undated,black-and-white portrait photograph,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,Full-length portrait of John M. Perkins standing outdoors.,Preserves another strong likeness of Perkins and expands the portrait record of his life.,"Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/40.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",John M. Perkins; full-length portrait,
SRM-2026-681,,coll645.png,"Community labor scene with shovel, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Community and Professional Life,Geographies To Be Confirmed,20th century,unidentified man,,undated,black-and-white photograph,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,Close-up of a man working with a shovel or similar tool outdoors.,Documents physical labor and grassroots work that underpinned community development efforts.,"Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/41.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",labor; shovel; work scene,
SRM-2026-682,,coll646.png,"Porch lined with chairs, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Family And Local Life,Geographies To Be Confirmed,20th century,,,undated,black-and-white photograph,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,Photograph of a porch or storefront lined with many chairs.,Preserves a social gathering space and the material setting of everyday community life.,"Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/42.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",porch; chairs; gathering space,
SRM-2026-683,,coll647.png,"John and Vera Mae Perkins at the Christian Thrift Store, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Community and Professional Life,Geographies To Be Confirmed,20th century,John M. Perkins; Vera Mae Perkins,,undated,black-and-white photograph,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,John and Vera Mae Perkins stand in front of a storefront labeled Christian Thrift Store.,"Documents economic self-help, service work, and the couple’s involvement in community-facing institutional space.","Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/43.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",John M. Perkins; Vera Mae Perkins; Christian Thrift Store; storefront,
SRM-2026-684,,coll648.png,"Formal portrait of John M. Perkins, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Portraiture and Community Memory,Geographies To Be Confirmed,20th century,John M. Perkins,,undated,formal portrait photograph,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,Formal head-and-shoulders portrait of John M. Perkins in suit and tie.,Adds a polished portrait image suitable for biographical and exhibit use.,"Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/44.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",John M. Perkins; formal portrait,
SRM-2026-685,,coll649.png,"Voice of Calvary office interior, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Community and Professional Life,"Jackson, Mississippi",20th century,Voice of Calvary Ministries staff,,undated,black-and-white photograph,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,Office interior showing staff gathered around desks and files.,Documents the administrative work behind ministry and community organizing associated with the Perkins network.,"Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/45.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",office; staff; Voice of Calvary; administration,
SRM-2026-686,,coll650.png,"John M. Perkins in a public panel discussion, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Civic Leadership,Geographies To Be Confirmed,20th century,John M. Perkins,,undated,color photograph,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,John M. Perkins seated with other panelists before an audience.,Preserves Perkins in a formal discussion setting and reflects his role as a public speaker and organizer.,"Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/46.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",John M. Perkins; panel; public discussion,
